mu,j,result,std_dev,Q
-0.25,3.0,2.738841283109534e-05,5.2749927549808066e-08,0.775878533070955
-0.25,3.1578947368421053,2.4850353712830223e-05,4.7749569104537735e-08,0.02555782427693919
-0.25,3.3157894736842106,2.2501820612045333e-05,4.3170010357149714e-08,0.3918405379125144
-0.25,3.473684210526316,2.057762083553559e-05,3.938088355013318e-08,0.8190548943818344
-0.25,3.6315789473684212,1.883115802695167e-05,3.583279375497391e-08,0.3940938338257861
-0.25,3.7894736842105265,1.7379489141529297e-05,3.3060694968965725e-08,0.03055111265768044
-0.25,3.9473684210526314,1.6019753178142986e-05,3.035441671157871e-08,0.5333553682474199
-0.25,4.105263157894736,1.477489713009192e-05,2.807545698377385e-08,0.35357607648950073
-0.25,4.2631578947368425,1.3709176841806646e-05,2.6043003610547888e-08,0.0208731444030171
-0.25,4.421052631578947,1.2852204088818111e-05,2.4238416973309362e-08,0.26040354624728895
-0.25,4.578947368421053,1.1940916223946634e-05,2.250659795205556e-08,0.21752637896975047
-0.25,4.7368421052631575,1.1218018602752412e-05,2.1119757323940728e-08,0.030134854525566985
-0.25,4.894736842105263,1.0499990906289265e-05,1.9758314132124393e-08,0.7773315398520679
-0.25,5.052631578947368,9.842688719742068e-06,1.85292595055337e-08,0.9860441698289913
-0.25,5.2105263157894735,9.304848039004721e-06,1.740210172140383e-08,0.2862407276230966
-0.25,5.368421052631579,8.71611989853857e-06,1.6435124476204472e-08,0.2843247812678076
-0.25,5.526315789473684,8.273483210173762e-06,1.548343115592046e-08,0.4390658054073767
-0.25,5.684210526315789,7.833901889089948e-06,1.4642043878556313e-08,0.017251793150819063
-0.25,5.842105263157895,7.390585787693486e-06,1.3849566118204357e-08,0.22894228160787722
-0.25,6.0,7.0287691722180965e-06,1.3122992564118528e-08,0.3827770317473068
