mu,j,result,std_dev,Q
-0.25,1.5,0.00011447888774916434,2.540786690575324e-07,0.31276109293356424
-0.25,1.5157894736842106,0.00011197081384110837,2.455383803167431e-07,0.43873049224950555
-0.25,1.5315789473684212,0.00010879722654880066,2.384954896171592e-07,0.10154680219609188
-0.25,1.5473684210526315,0.00010662772550398606,2.3208293646694465e-07,0.414281768303825
-0.25,1.563157894736842,0.00010426120699077319,2.2603419829402134e-07,0.8686307735317192
-0.25,1.5789473684210527,0.0001017169319500476,2.1949209258632344e-07,0.05059659402075192
-0.25,1.5947368421052632,9.92646621716436e-05,2.1391720965034505e-07,0.9536080537305096
-0.25,1.6105263157894738,9.695388815329243e-05,2.0854682118328243e-07,0.16503111836060855
-0.25,1.6263157894736842,9.534765416462509e-05,2.029380236485077e-07,0.7303461901426684
-0.25,1.6421052631578947,9.280132277551668e-05,1.9809139992160302e-07,0.10147465856417465
-0.25,1.6578947368421053,9.109067220882319e-05,1.929158362253389e-07,0.9464720159248513
-0.25,1.6736842105263159,8.945839572684277e-05,1.8841631526886778e-07,0.8646091359463388
-0.25,1.6894736842105265,8.740079477196379e-05,1.847197065319167e-07,0.6369379709632064
-0.25,1.7052631578947368,8.573633672831195e-05,1.800251703843645e-07,0.9423537908884864
-0.25,1.7210526315789474,8.423154734009767e-05,1.764915626641136e-07,0.022292144215929094
-0.25,1.736842105263158,8.267058093768849e-05,1.7236009990735292e-07,0.8396238362967541
-0.25,1.7526315789473685,8.100898108530734e-05,1.6866886017467562e-07,0.11309429237816206
-0.25,1.7684210526315791,7.931099796558926e-05,1.648749646098665e-07,0.8728340758134454
-0.25,1.7842105263157895,7.770668767084893e-05,1.6150948456831387e-07,0.5961823413763344
-0.25,1.8,7.621537182996682e-05,1.5785998302553532e-07,0.7211814460320236
