mu,j,result,std_dev,Q
-1,0.1,-0.00015478362387448647,0.0002824069243063693,0.13321756398086104
-1,1,0.00031348310968047215,0.00017014616068539384,0.4452363207026936
-1,1.5,0.0002500461497977409,0.0001635311220684656,0.18087267542908095
-1,2,0.00016989415811548907,8.992303138350558e-05,0.7311798751995979
-1,2.5,-9.555638224347432e-05,5.4243725450094394e-05,0.18793129469629663
-1,3,2.352046811700753e-05,4.1468332539299974e-05,0.8950082060878517
-1,4,5.281964702790183e-06,2.5900641785604803e-05,0.8758411082261433
-1,5,-1.786490170622861e-05,1.4529296758408929e-05,0.8446843106138975
-1,6,-6.148649342799066e-06,1.121290172153742e-05,0.0071854356804911855
0,0.1,-0.00027195359616718925,0.0002986795678241551,0.35678838481758324
0,1,-0.0005785942463513997,0.00041152531458315747,0.7079214107205429
0,1.5,-5.1805422006162616e-05,0.0001548227534242763,0.08699683030995864
0,2,3.540726476279497e-05,9.795395991156598e-05,0.1515150746937039
0,2.5,7.307395299651171e-05,5.492450755520566e-05,0.8993146375202625
0,3,3.048601466163249e-05,4.458228783178634e-05,0.46715266608428385
0,4,-1.1443242911536946e-05,2.347156827776679e-05,0.012030045684002736
0,5,-8.229328321161166e-06,1.608257022693795e-05,0.5241254345944195
0,6,1.4885569080475327e-05,1.118621111549696e-05,0.8702218075031674
1,0.1,-1.441220695311489e-05,1.5838260738775385e-05,0.3907281709459631
1,1,-0.0005282145867538903,0.0001781387973712409,0.09756376611417601
1,1.5,-0.00037279641245291844,0.00013672813289922588,0.4432574160134868
1,2,0.0001070446247326909,8.324601258726585e-05,0.8532900180093901
1,2.5,9.613473253400574e-06,5.3044809326484135e-05,0.20266443252142835
1,3,8.301305964735309e-06,4.0347102382976e-05,0.1413152822481671
1,4,-1.014510771786093e-05,2.0376921349888743e-05,0.20453883045366825
1,5,-6.289845434281422e-06,1.3596805171337266e-05,0.5606124762029887
1,6,2.8234775768620462e-05,1.0621793045113564e-05,0.8404145476213858
