idx,soc_value,component_index,mean,sdev,Q,is_sum,sum_mean,sum_sdev
0,[0.0025 0.0025 0.0085],0,0.0012046353040628636,3.009662350738832e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],1,5.203437260882327e-05,3.6051183653490123e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],2,2.19488932550231e-06,2.626779894785141e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],3,-0.0019324213074639197,4.7317473227307085e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],4,-0.00014266350644314877,4.893440832625267e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],5,-5.1504958649170244e-06,4.973868437902135e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],6,6.249097585946427e-05,6.782366513866891e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],7,3.9443963346463624e-07,4.381020922380751e-09,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],8,3.7524779665486906e-08,1.2279249721400482e-09,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],9,0.00018704096286501274,2.0346421372183332e-05,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],10,5.314995155916003e-06,1.020964776945213e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],11,1.4057810285227715e-06,7.399858310907349e-08,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],12,-9.560406219292598e-09,1.1322450540094718e-08,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],13,0.0001100523575451733,1.9366849050739746e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],14,1.0471618029486911e-06,9.205622841462791e-09,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],15,1.6948615811752178e-06,2.39284525308404e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],16,1.3248114853731331e-09,5.380987187072523e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],17,-7.751749521299698e-11,3.865408886077892e-12,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],18,-1.8656004723229627e-09,8.427378022597433e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],19,0.0006336772962937793,1.1892266606378303e-06,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],20,9.379939243534526e-05,3.312573160795485e-07,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],21,1.233929337384667e-06,4.8530551963766964e-08,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],22,-6.00184448700835e-10,4.684249260233317e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],23,1.5867011354009028e-10,1.7382074405466495e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],24,6.766645513021039e-05,1.3810581136016997e-05,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],25,-2.297831728670794e-08,1.0204295648907105e-08,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],26,-2.96615754579823e-10,1.6655216579065098e-11,8.656790598045076e-05,0,,
0,[0.0025 0.0025 0.0085],27,1.2382714169851538e-09,2.1470773365768725e-10,8.656790598045076e-05,0,,
