mu,j,result,std_dev,Q
-0.25,1.15,0.00011516784334477665,6.459110687233999e-07,0.9688524936300807
-0.25,1.1673684210526314,0.00011825595080821035,6.135706635098219e-07,0.3983439214276481
-0.25,1.184736842105263,0.00012208543177551808,5.826939982845828e-07,0.9614040385213999
-0.25,1.2021052631578946,0.00012508931852406899,5.530044739736672e-07,0.22756091249827282
-0.25,1.2194736842105263,0.0001287040896877943,5.259857200669987e-07,0.43235128875303974
-0.25,1.2368421052631577,0.00013350540483211454,4.989209305154138e-07,0.06212972335913
-0.25,1.2542105263157894,0.00013614801476017003,4.756026477208333e-07,0.0007488729073724898
-0.25,1.271578947368421,0.00013811259414132365,4.5290655555815193e-07,0.22418471467905857
-0.25,1.2889473684210526,0.0001423102200615494,4.2936790729275006e-07,0.13637971217482414
-0.25,1.306315789473684,0.00014559310776969046,4.072628932302838e-07,0.39305786587157576
-0.25,1.3236842105263158,0.00014794421271923917,3.858046518944178e-07,0.13699586717523046
-0.25,1.3410526315789473,0.0001499072196017212,3.6564594208492203e-07,0.7995678172962104
-0.25,1.358421052631579,0.00015011194547246825,3.4711381757320225e-07,0.9088889375399968
-0.25,1.3757894736842105,0.00014514206159297252,3.323626125500932e-07,0.6644924955150756
-0.25,1.393157894736842,0.00014004048552350548,3.1799341312245116e-07,0.9049350125329466
-0.25,1.4105263157894736,0.00013437801371202592,3.061610576917436e-07,0.11967319745494329
-0.25,1.4278947368421053,0.00012956537952725267,2.933120206738111e-07,0.04421740202467471
-0.25,1.4452631578947368,0.00012542701927027234,2.8261646670859003e-07,0.4483011351916747
-0.25,1.4626315789473683,0.00012178648103970827,2.7269737007493265e-07,0.29667820675991885
-0.25,1.48,0.0001180310292368042,2.6307974481527813e-07,0.5072731337534497
